#Num	#Type	#Forme	#POS	#Lemme	#POS	#MORPH	#REL(ID_Gouv)	#PAUSE
57	forme	bénéficie	V	bénéficier	V	n=s|t=P,S|p=1,3	ROOT	_
58	delim		BLANK	BLANK	_	_	_	_
59	forme	d'	P	de	P	_	MOD(57)	_
60	delim		BLANK	BLANK	_	_	_	_
61	forme	une	DET	une	DET	n=s|g=f	DET(63)	_
62	delim		BLANK	BLANK	_	_	_	_
63	forme	mesure	NC	mesure	NC	n=s|g=f	PREP(59)	_
64	delim		BLANK	BLANK	_	_	_	_
65	forme	d'	P	de	P	_	MOD(57)	_
66	delim		BLANK	BLANK	_	_	_	_
67	forme	AEMO	NPP	_	NPP	_	PREP(65)	_
68	delim		BLANK	BLANK	_	_	_	_
69	forme	au	P+D	à	P+D	n=s|g=m	MOD(57)	_
70	delim		BLANK	BLANK	_	_	_	_
71	forme	profit	NC	profit	NC	n=s|g=m	PREP(69)	_
72	delim		BLANK	BLANK	_	_	_	_
73	forme	des	P+D	de	P+D	n=p	DEP(71)	_
74	delim		BLANK	BLANK	_	_	_	_
75	forme	cinq	ADJ	cinq	ADJ	s=card|n=p	MOD(77)	P
76	delim		BLANK	BLANK	_	_	_	_
77	forme	enfants	NC	enfant	NC	n=p	PREP(73)	_
78	delim		BLANK	BLANK	_	_	_	_
79	forme	Anny	NPP	_	NPP	_	MOD(77)	P
80	delim		BLANK	BLANK	_	_	_	_
81	forme	est	V	être	V	n=s|t=P|p=3	AUX_TPS(83)	P
82	delim		BLANK	BLANK	_	_	_	_
83	forme	née	VPP	naître	VPP	n=s|g=f|t=K	MOD(57)	_
84	delim		BLANK	BLANK	_	_	_	_
85	forme	le	DET	le	DET	n=s|g=m	DET(89)	_
86	delim		BLANK	BLANK	_	_	_	_
87	forme	4	ADJ	4	ADJ	_	MOD(89)	_
88	delim		BLANK	BLANK	_	_	_	_
89	forme	décembre	NC	décembre	NC	n=s|g=m	MOD(83)	_
90	delim		BLANK	BLANK	_	_	_	_
91	forme	2001	NC	2001	NC	_	MOD(89)	_
92	delim		BLANK	BLANK	_	_	_	_
93	delim	.	PONCT	.	_	_	_	_
94	delim		BLANK	BLANK	_	_	_	_
95	delim	§	DELIM	§	_	_	_	_
96	delim		BLANK	BLANK	_	_	_	_
97	forme	Elle	CLS	elle	CLS	n=s|g=f|p=3	SUJ(99)	P
98	delim		BLANK	BLANK	_	_	_	_
99	forme	est	V	être	V	n=s|t=P|p=3	ROOT	_
100	delim		BLANK	BLANK	_	_	_	_
101	forme	la	DET	la	DET	n=s|g=f	DET(103)	_
102	delim		BLANK	BLANK	_	_	_	_
103	forme	dernière	ADJ	dernier	ADJ	n=s|g=f	ATS(99)	_
104	delim		BLANK	BLANK	_	_	_	_
105	forme	d'	P	de	P	_	MOD(99)	_
106	delim		BLANK	BLANK	_	_	_	_
107	forme	une	DET	une	DET	n=s|g=f	DET(109)	_
108	delim		BLANK	BLANK	_	_	_	_
109	forme	fratrie	NC	fratrie	NC	n=s|g=f	PREP(105)	_
110	delim		BLANK	BLANK	_	_	_	_
111	forme	recomposée	VPP	recomposer	VPP	n=s|g=f|t=K	MOD(109)	_
112	delim		BLANK	BLANK	_	_	_	_
113	forme	de	P	de	P	_	MOD(111)	P
114	delim		BLANK	BLANK	_	_	_	_
115	forme	l'	DET	le	DET	n=s	DET(117)	_
116	delim		BLANK	BLANK	_	_	_	_
117	forme	union	NC	union	NC	n=s|g=f	PREP(113)	_
118	delim		BLANK	BLANK	_	_	_	_
119	forme	BRON	NPP	_	NPP	_	MOD(117)	_
120	delim		BLANK	BLANK	_	_	_	_
121	forme	cinq	DET	cinq	DET	s=card|n=p	DET(123)	P
122	delim		BLANK	BLANK	_	_	_	_
123	forme	enfants	NC	enfant	NC	n=p	OBJ(99)	_
124	delim		BLANK	BLANK	_	_	_	_
125	delim	.	PONCT	.	_	_	_	_
126	delim		BLANK	BLANK	_	_	_	_
127	delim	§	DELIM	§	_	_	_	_
128	delim		BLANK	BLANK	_	_	_	_
129	forme	Monsieur	NPP	_	NPP	_	SUJ(135)	P
130	delim		BLANK	BLANK	_	_	_	_
131	forme	Boulonnais	NPP	_	NPP	_	MOD(129)	_
132	delim		BLANK	BLANK	_	_	_	_
133	forme	a	V	avoir	V	n=s|t=P|p=3	AUX_TPS(135)	_
134	delim		BLANK	BLANK	_	_	_	_
135	forme	eu	VPP	avoir	VPP	n=s|g=m|t=K	ROOT	_
136	delim		BLANK	BLANK	_	_	_	_
137	forme	un	DET	un	DET	n=s|g=m	DET(141)	P
138	delim		BLANK	BLANK	_	_	_	_
139	forme	premier	ADJ	premier	ADJ	n=s|g=m	MOD(141)	_
140	delim		BLANK	BLANK	_	_	_	_
141	forme	enfant	NC	enfant	NC	n=s	OBJ(135)	_
142	delim		BLANK	BLANK	_	_	_	_
143	delim	,	PONCT	,	_	_	_	_
144	delim		BLANK	BLANK	_	_	_	_
145	forme	Julien	NPP	Julien	NPP	n=s|g=m	MOD(141)	_
146	delim		BLANK	BLANK	_	_	_	_
147	forme	âgé	ADJ	âgé	ADJ	n=s|g=m	MOD(141)	_
148	delim		BLANK	BLANK	_	_	_	_
149	forme	de	P	de	P	_	MOD(135)	_
150	delim		BLANK	BLANK	_	_	_	_
151	forme	20	ADJ	20	ADJ	_	MOD(153)	_
152	delim		BLANK	BLANK	_	_	_	_
153	forme	ans	NC	an	NC	n=p|g=m	PREP(149)	_
154	delim		BLANK	BLANK	_	_	_	_
155	delim	.	PONCT	.	_	_	_	_
156	delim		BLANK	BLANK	_	_	_	_
157	delim	§	DELIM	§	_	_	_	_
158	delim		BLANK	BLANK	_	_	_	_
159	forme	Madame	NC	Monsieur	NC	n=s|g=f	SUJ(165)	_
160	delim		BLANK	BLANK	_	_	_	_
161	forme	Bron	NPP	Bron	NPP	n=s|g=f,m	MOD(159)	_
162	delim		BLANK	BLANK	_	_	_	_
163	forme	a	V	avoir	V	n=s|t=P|p=3	AUX_TPS(165)	_
164	delim		BLANK	BLANK	_	_	_	_
165	forme	eu	VPP	avoir	VPP	n=s|g=m|t=K	ROOT	P
166	delim		BLANK	BLANK	_	_	_	_
167	forme	d'	P	de	P	_	MOD(165)	_
168	delim		BLANK	BLANK	_	_	_	_
169	forme	une	DET	une	DET	n=s|g=f	DET(173)	_
170	delim		BLANK	BLANK	_	_	_	_
171	forme	précédente	ADJ	précédent	ADJ	n=s|g=f	MOD(173)	_
172	delim		BLANK	BLANK	_	_	_	_
173	forme	union	NC	union	NC	n=s|g=f	PREP(167)	_
174	delim		BLANK	BLANK	_	_	_	_
175	forme	avec	P	avec	P	_	DEP(173)	P
176	delim		BLANK	BLANK	_	_	_	_
177	forme	Monsieur	NC	Monsieur	NC	n=s|g=m	PREP(175)	_
178	delim		BLANK	BLANK	_	_	_	_
179	forme	Zoé	NPP	Zoé	NPP	n=s|g=f	MOD(177)	_
180	delim		BLANK	BLANK	_	_	_	_
181	delim	,	PONCT	,	_	_	_	_
182	delim		BLANK	BLANK	_	_	_	_
183	forme	deux	DET	deux	DET	s=card|n=p	DET(185)	_
184	delim		BLANK	BLANK	_	_	_	_
185	forme	filles	NC	fille	NC	n=p|g=f	OBJ(165)	_
186	delim		BLANK	BLANK	_	_	_	_
187	delim	,	PONCT	,	_	_	_	_
188	delim		BLANK	BLANK	_	_	_	_
189	forme	Adèle	NPP	Adèle	NPP	n=s|g=f	MOD(185)	_
190	delim		BLANK	BLANK	_	_	_	_
191	delim	(	PONCT	(	_	_	_	_
192	delim		BLANK	BLANK	_	_	_	_
193	forme	19	ADJ	19	ADJ	_	MOD(185)	P
194	delim		BLANK	BLANK	_	_	_	_
195	forme	ans	NC	an	NC	n=p|g=m	MOD(185)	_
196	delim		BLANK	BLANK	_	_	_	_
197	delim	)	PONCT	)	_	_	_	_
198	delim		BLANK	BLANK	_	_	_	_
199	forme	et	CC	et	CC	_	COORD(185)	_
200	delim		BLANK	BLANK	_	_	_	_
201	forme	Anais	NPP	Anais	NPP	n=s|g=m	DEP_COORD(199)	_
202	delim		BLANK	BLANK	_	_	_	_
203	forme	(	PONCT	(	_	_	_	P
204	delim		BLANK	BLANK	_	_	_	_
205	forme	16	ADJ	16	ADJ	_	MOD(185)	_
206	delim		BLANK	BLANK	_	_	_	_
207	forme	ans	NC	an	NC	n=p|g=m	MOD(185)	_
208	delim		BLANK	BLANK	_	_	_	_
209	forme	1	NC	1	NC	_	MOD(185)	_
210	delim		BLANK	BLANK	_	_	_	_
211	delim	/	PONCT	/	_	_	_	_
212	delim		BLANK	BLANK	_	_	_	_
213	forme	2	NC	2	NC	_	MOD(185)	_
214	delim		BLANK	BLANK	_	_	_	_
215	delim	)	PONCT	)	_	_	_	_
216	delim		BLANK	BLANK	_	_	_	_
217	forme	)	PONCT	)	_	_	_	P
218	delim		BLANK	BLANK	_	_	_	_
219	forme	.	PONCT	.	_	_	_	P
220	delim		BLANK	BLANK	_	_	_	_
221	delim	§	DELIM	§	_	_	_	_
222	delim		BLANK	BLANK	_	_	_	_
223	forme	Monsieur	NPP	_	NPP	_	SUJ(235)	P
224	delim		BLANK	BLANK	_	_	_	_
225	forme	Boulonnais	NPP	_	NPP	_	MOD(223)	_
226	delim		BLANK	BLANK	_	_	_	_
227	forme	et	CC	et	CC	_	COORD(223)	_
228	delim		BLANK	BLANK	_	_	_	_
229	forme	Madame	NC	Monsieur	NC	n=s|g=f	DEP_COORD(227)	_
230	delim		BLANK	BLANK	_	_	_	_
231	forme	Bron	NPP	Bron	NPP	n=s|g=f,m	MOD(229)	_
232	delim		BLANK	BLANK	_	_	_	_
233	forme	ont	V	avoir	V	n=p|t=P|p=3	AUX_TPS(235)	_
234	delim		BLANK	BLANK	_	_	_	_
235	forme	eu	VPP	avoir	VPP	n=s|g=m|t=K	ROOT	_
236	delim		BLANK	BLANK	_	_	_	_
237	forme	ensemble	ADV	ensemble	ADV	_	MOD(235)	_
238	delim		BLANK	BLANK	_	_	_	_
239	forme	Ada	NPP	Ada	NPP	n=s|g=f	OBJ(235)	_
240	delim		BLANK	BLANK	_	_	_	_
241	forme	et	CC	et	CC	_	COORD(239)	_
242	delim		BLANK	BLANK	_	_	_	_
243	forme	Anny	NPP	_	NPP	_	DEP_COORD(241)	_
244	delim		BLANK	BLANK	_	_	_	_
245	forme	(	PONCT	(	_	_	_	P
246	delim		BLANK	BLANK	_	_	_	_
247	forme	14	ADJ	14	ADJ	_	MOD(249)	_
248	delim		BLANK	BLANK	_	_	_	_
249	forme	ans	NC	an	NC	n=p|g=m	MOD(239)	_
250	delim		BLANK	BLANK	_	_	_	_
251	delim	)	PONCT	)	_	_	_	_
252	delim		BLANK	BLANK	_	_	_	_
253	forme	(	PONCT	(	_	_	_	P
254	delim		BLANK	BLANK	_	_	_	_
255	forme	12	ADJ	12	ADJ	_	MOD(257)	_
256	delim		BLANK	BLANK	_	_	_	_
257	forme	ans	NC	an	NC	n=p|g=m	MOD(235)	_
258	delim		BLANK	BLANK	_	_	_	_
259	delim	)	PONCT	)	_	_	_	_
260	delim		BLANK	BLANK	_	_	_	_
261	delim	.	PONCT	.	_	_	_	_
262	delim		BLANK	BLANK	_	_	_	_
263	delim	§	DELIM	§	_	_	_	_
264	delim		BLANK	BLANK	_	_	_	_
265	forme	une	DET	une	DET	n=s|g=f	DET(267)	P
266	delim		BLANK	BLANK	_	_	_	_
267	forme	mesure	NC	mesure	NC	n=s|g=f	_()	_
268	delim		BLANK	BLANK	_	_	_	_
269	forme	d'	P	de	P	_	DEP(267)	_
270	delim		BLANK	BLANK	_	_	_	_
271	forme	AEMO	NC	_	NC	_	PREP(269)	_
272	delim		BLANK	BLANK	_	_	_	_
273	forme	judiciaire	ADJ	judiciaire	ADJ	n=s	MOD(267)	P
274	delim		BLANK	BLANK	_	_	_	_
275	forme	En	NPP	_	NPP	_	MOD(267)	P
276	delim		BLANK	BLANK	_	_	_	_
277	forme	2008	NC	2008	NC	_	MOD(267)	_
278	delim		BLANK	BLANK	_	_	_	_
279	forme	a	V	avoir	V	n=s|t=P|p=3	_()	P
280	delim		BLANK	BLANK	_	_	_	_
281	forme	été	VPP	être	VPP	t=K	_()	_
282	delim		BLANK	BLANK	_	_	_	_
283	forme	mise	NC	mise	NC	n=s|g=f	OBJ(281)	_
284	delim		BLANK	BLANK	_	_	_	_
285	forme	en	P	en	P	_	MOD(281)	_
286	delim		BLANK	BLANK	_	_	_	_
287	forme	place	NC	place	NC	n=s|g=f	PREP(285)	_
288	delim		BLANK	BLANK	_	_	_	_
289	forme	au	P+D	à	P+D	n=s|g=m	MOD(281)	_
290	delim		BLANK	BLANK	_	_	_	_
291	forme	profit	NC	profit	NC	n=s|g=m	PREP(289)	_
292	delim		BLANK	BLANK	_	_	_	_
293	forme	des	P+D	de	P+D	n=p	MOD(281)	_
294	delim		BLANK	BLANK	_	_	_	_
295	forme	cinq	ADJ	cinq	ADJ	s=card|n=p	MOD(297)	_
296	delim		BLANK	BLANK	_	_	_	_
297	forme	enfants	NC	enfant	NC	n=p	PREP(293)	_
298	delim		BLANK	BLANK	_	_	_	_
299	delim	.	PONCT	.	_	_	_	_
300	delim		BLANK	BLANK	_	_	_	_
301	delim	§	DELIM	§	_	_	_	_
302	delim		BLANK	BLANK	_	_	_	_
303	forme	,	PONCT	,	_	_	_	P
304	delim		BLANK	BLANK	_	_	_	_
305	forme	émanant	VPR	émaner	VPR	t=G	_()	_
306	delim		BLANK	BLANK	_	_	_	_
307	forme	de	P	de	P	_	MOD(305)	_
308	delim		BLANK	BLANK	_	_	_	_
309	forme	plusieurs	DET	plusieurs	DET	n=p	DET(311)	_
310	delim		BLANK	BLANK	_	_	_	_
311	forme	signalements	NC	signalement	NC	n=p|g=m	PREP(307)	_
312	delim		BLANK	BLANK	_	_	_	_
313	delim	,	PONCT	,	_	_	_	_
314	delim		BLANK	BLANK	_	_	_	_
315	forme	afin	ADV	_	ADV	_	MOD(305)	P
316	delim		BLANK	BLANK	_	_	_	_
317	forme	d'	P	de	P	_	MOD(305)	_
318	delim		BLANK	BLANK	_	_	_	_
319	forme	aider	VINF	aider	VINF	t=W	PREP(317)	_
320	delim		BLANK	BLANK	_	_	_	_
321	forme	Madame	NC	Monsieur	NC	n=s|g=f	OBJ(319)	_
322	delim		BLANK	BLANK	_	_	_	_
323	forme	Bron	NPP	Bron	NPP	n=s|g=f,m	MOD(321)	_
324	delim		BLANK	BLANK	_	_	_	_
325	forme	dans	P	dans	P	_	MOD(319)	_
326	delim		BLANK	BLANK	_	_	_	_
327	forme	la	DET	la	DET	n=s|g=f	DET(329)	_
328	delim		BLANK	BLANK	_	_	_	_
329	forme	prise	NC	prise	NC	n=s|g=f	PREP(325)	_
330	delim		BLANK	BLANK	_	_	_	_
331	forme	en	P	en	P	_	MOD(319)	_
332	delim		BLANK	BLANK	_	_	_	_
333	forme	charge	NC	charge	NC	n=s|g=f	PREP(331)	_
334	delim		BLANK	BLANK	_	_	_	_
335	forme	au	P+D	à	P+D	n=s|g=m	MOD(319)	_
336	delim		BLANK	BLANK	_	_	_	_
337	forme	quotidien	NC	quotidien	NC	n=s|g=m	PREP(335)	_
338	delim		BLANK	BLANK	_	_	_	_
339	forme	des	P+D	de	P+D	n=p	MOD(319)	P
340	delim		BLANK	BLANK	_	_	_	_
341	forme	cinq	ADJ	cinq	ADJ	s=card|n=p	MOD(343)	_
342	delim		BLANK	BLANK	_	_	_	_
343	forme	enfants	NC	enfant	NC	n=p	PREP(339)	_
344	delim		BLANK	BLANK	_	_	_	_
345	delim	.	PONCT	.	_	_	_	_
346	delim		BLANK	BLANK	_	_	_	_
347	delim	§	DELIM	§	_	_	_	_
348	delim		BLANK	BLANK	_	_	_	_
349	forme	L'	DET	le	DET	n=s	DET(351)	P
350	delim		BLANK	BLANK	_	_	_	_
351	forme	AEMO	NPP	_	NPP	_	SUJ(353)	_
352	delim		BLANK	BLANK	_	_	_	_
353	forme	fait	V	faire	V	n=s|t=P|p=3	ROOT	P
354	delim		BLANK	BLANK	_	_	_	_
355	forme	état	NC	état	NC	n=s|g=m	OBJ(353)	_
356	delim		BLANK	BLANK	_	_	_	_
357	forme	des	P+D	de	P+D	n=p	MOD(353)	_
358	delim		BLANK	BLANK	_	_	_	_
359	forme	difficultés	NC	difficulté	NC	n=p|g=f	PREP(357)	_
360	delim		BLANK	BLANK	_	_	_	_
361	forme	rencontrées	VPP	rencontrer	VPP	n=p|g=f|t=K	MOD(359)	_
362	delim		BLANK	BLANK	_	_	_	_
363	forme	au	P+D	à	P+D	n=s|g=m	MOD(361)	_
364	delim		BLANK	BLANK	_	_	_	_
365	forme	domicile	NC	domicile	NC	n=s|g=m	PREP(363)	_
366	delim		BLANK	BLANK	_	_	_	_
367	forme	associées	VPP	associer	VPP	n=p|g=f|t=K	MOD(359)	P
368	delim		BLANK	BLANK	_	_	_	_
369	forme	éducatives	ADJ	éducatif	ADJ	n=p|g=f	MOD(367)	P
370	delim		BLANK	BLANK	_	_	_	_
371	forme	ainsi	ADV	ainsi	ADV	_	MOD(353)	P
372	delim		BLANK	BLANK	_	_	_	_
373	forme	que	CS	que	CS	_	MOD(353)	_
374	delim		BLANK	BLANK	_	_	_	_
375	forme	des	DET	des	DET	n=p	DET(377)	P
376	delim		BLANK	BLANK	_	_	_	_
377	forme	problèmes	NC	problème	NC	n=p|g=m	_()	_
378	delim		BLANK	BLANK	_	_	_	_
379	forme	de	P	de	P	_	DEP(377)	_
380	delim		BLANK	BLANK	_	_	_	_
381	forme	couple	NC	couple	NC	n=s	PREP(379)	_
382	delim		BLANK	BLANK	_	_	_	_
383	delim	,	PONCT	,	_	_	_	_
384	delim		BLANK	BLANK	_	_	_	_
385	forme	d'	P	de	P	_	DEP(377)	_
386	delim		BLANK	BLANK	_	_	_	_
387	forme	alcool	NC	alcool	NC	n=s|g=m	PREP(385)	_
388	delim		BLANK	BLANK	_	_	_	_
389	forme	et	CC	et	CC	_	COORD(377)	_
390	delim		BLANK	BLANK	_	_	_	_
391	forme	un	DET	un	DET	n=s|g=m	DET(393)	_
392	delim		BLANK	BLANK	_	_	_	_
393	forme	manque	NC	manque	NC	n=s	DEP_COORD(389)	_
394	delim		BLANK	BLANK	_	_	_	_
395	forme	de	P	de	P	_	DEP(393)	_
396	delim		BLANK	BLANK	_	_	_	_
397	forme	mobilisation	NC	mobilisation	NC	n=s|g=f	PREP(395)	_
398	delim		BLANK	BLANK	_	_	_	_
399	forme	de	P	de	P	_	DEP(393)	_
400	delim		BLANK	BLANK	_	_	_	_
401	forme	Monsieur	NC	Monsieur	NC	n=s|g=m	PREP(399)	_
402	delim		BLANK	BLANK	_	_	_	_
403	forme	Boulonnais	NPP	_	NPP	_	MOD(401)	_
404	delim		BLANK	BLANK	_	_	_	_
405	forme	.	PONCT	.	_	_	_	P
406	delim		BLANK	BLANK	_	_	_	_
407	delim	§	DELIM	§	_	_	_	_
408	delim		BLANK	BLANK	_	_	_	_
409	forme	.	PONCT	.	_	_	_	P
410	delim		BLANK	BLANK	_	_	_	_
411	delim	§	DELIM	§	_	_	_	_
412	delim		BLANK	BLANK	_	_	_	_
413	forme	pour	P	pour	P	_	MOD(439)	P
414	delim		BLANK	BLANK	_	_	_	_
415	forme	chacun	PRO	chacun	PRO	n=s|g=m	PREP(413)	_
416	delim		BLANK	BLANK	_	_	_	_
417	forme	des	P+D	de	P+D	n=p	DEP(415)	_
418	delim		BLANK	BLANK	_	_	_	_
419	forme	enfants	NC	enfant	NC	n=p	PREP(417)	_
420	delim		BLANK	BLANK	_	_	_	_
421	forme	quotidien	ADJ	quotidien	ADJ	n=s|g=m	MOD(419)	P
422	delim		BLANK	BLANK	_	_	_	_
423	forme	en	P	en	P	_	DEP(413)	P
424	delim		BLANK	BLANK	_	_	_	_
425	forme	2010	NC	2010	NC	_	PREP(423)	_
426	delim		BLANK	BLANK	_	_	_	_
427	forme	,	PONCT	,	_	_	_	P
428	delim		BLANK	BLANK	_	_	_	_
429	forme	Madame	NC	Monsieur	NC	n=s|g=f	SUJ(439)	_
430	delim		BLANK	BLANK	_	_	_	_
431	forme	Bron	NPP	Bron	NPP	n=s|g=f,m	MOD(429)	_
432	delim		BLANK	BLANK	_	_	_	_
433	forme	et	CC	et	CC	_	COORD(429)	_
434	delim		BLANK	BLANK	_	_	_	_
435	forme	Monsieur	NPP	_	NPP	_	DEP_COORD(433)	_
436	delim		BLANK	BLANK	_	_	_	_
437	forme	Boulonnais	NPP	_	NPP	_	MOD(435)	_
438	delim		BLANK	BLANK	_	_	_	_
439	forme	sollicite	V	solliciter	V	n=s|t=P,S|p=1,3	ROOT	_
440	delim		BLANK	BLANK	_	_	_	_
441	forme	le	DET	le	DET	n=s|g=m	DET(443)	_
442	delim		BLANK	BLANK	_	_	_	_
443	forme	conseil	NC	conseil	NC	n=s|g=m	OBJ(439)	_
444	delim		BLANK	BLANK	_	_	_	_
445	forme	général	ADJ	général	ADJ	n=s|g=m	MOD(443)	_
446	delim		BLANK	BLANK	_	_	_	_
447	forme	nt	NPP	_	NPP	_	MOD(443)	P
448	delim		BLANK	BLANK	_	_	_	_
449	forme	et	CC	et	CC	_	COORD(439)	P
450	delim		BLANK	BLANK	_	_	_	_
451	forme	formulent	V	formuler	V	n=p|t=P,S|p=3	DEP_COORD(449)	_
452	delim		BLANK	BLANK	_	_	_	_
453	forme	une	DET	une	DET	n=s|g=f	DET(455)	_
454	delim		BLANK	BLANK	_	_	_	_
455	forme	demande	NC	demande	NC	n=s|g=f	OBJ(451)	_
456	delim		BLANK	BLANK	_	_	_	_
457	forme	de	P	de	P	_	DEP(455)	_
458	delim		BLANK	BLANK	_	_	_	_
459	forme	placement	NC	placement	NC	n=s|g=m	PREP(457)	_
460	delim		BLANK	BLANK	_	_	_	_
461	forme	pour	P	pour	P	_	MOD(451)	P
462	delim		BLANK	BLANK	_	_	_	_
463	forme	Anny	NPP	_	NPP	_	PREP(461)	_
464	delim		BLANK	BLANK	_	_	_	_
465	forme	dans	P	dans	P	_	MOD(451)	_
466	delim		BLANK	BLANK	_	_	_	_
467	forme	le	DET	le	DET	n=s|g=m	DET(469)	_
468	delim		BLANK	BLANK	_	_	_	_
469	forme	cadre	NC	cadre	NC	n=s|g=m	PREP(465)	_
470	delim		BLANK	BLANK	_	_	_	_
471	forme	d'	P	de	P	_	MOD(451)	_
472	delim		BLANK	BLANK	_	_	_	_
473	forme	un	DET	un	DET	n=s|g=m	DET(475)	_
474	delim		BLANK	BLANK	_	_	_	_
475	forme	recueil	NC	recueil	NC	n=s|g=m	PREP(471)	_
476	delim		BLANK	BLANK	_	_	_	_
477	forme	provisoire	ADJ	provisoire	ADJ	n=s	MOD(475)	_
478	delim		BLANK	BLANK	_	_	_	_
479	forme	en	P	en	P	_	MOD(451)	P
480	delim		BLANK	BLANK	_	_	_	_
481	forme	Juin	NC	juin	NC	n=s|g=m	PREP(479)	_
482	delim		BLANK	BLANK	_	_	_	_
483	forme	.	PONCT	.	_	_	_	P
484	delim		BLANK	BLANK	_	_	_	_
485	delim	§	DELIM	§	_	_	_	_
486	delim		BLANK	BLANK	_	_	_	_
487	forme	juin	NC	juin	NC	n=s|g=m	SUJ(495)	P
488	delim		BLANK	BLANK	_	_	_	_
489	forme	A	NPP	_	NPP	_	MOD(487)	P
490	delim		BLANK	BLANK	_	_	_	_
491	forme	nny	NPP	_	NPP	_	MOD(487)	_
492	delim		BLANK	BLANK	_	_	_	_
493	forme	était	V	être	V	n=s|t=I|p=3	AUX_TPS(495)	P
494	delim		BLANK	BLANK	_	_	_	_
495	forme	décrite	VPP	décrire	VPP	n=s|g=f|t=K	ROOT	_
496	delim		BLANK	BLANK	_	_	_	_
497	forme	comme	P	comme	P	_	MOD(495)	_
498	delim		BLANK	BLANK	_	_	_	_
499	forme	une	DET	une	DET	n=s|g=f	DET(501)	_
500	delim		BLANK	BLANK	_	_	_	_
501	forme	enfant	NC	enfant	NC	n=s	PREP(497)	_
502	delim		BLANK	BLANK	_	_	_	_
503	delim	&quot;	PONCT	&quot;	_	_	_	_
504	delim		BLANK	BLANK	_	_	_	_
505	forme	tyrannique	ADJ	tyrannique	ADJ	n=s	MOD(501)	_
506	delim		BLANK	BLANK	_	_	_	_
507	delim	&quot;	PONCT	&quot;	_	_	_	_
508	delim		BLANK	BLANK	_	_	_	_
509	forme	s'	CLR	se	CLR	n=p,s|p=3	AFF(511)	P
510	delim		BLANK	BLANK	_	_	_	_
511	forme	opposant	VPR	opposer	VPR	t=G	MOD(495)	_
512	delim		BLANK	BLANK	_	_	_	_
513	forme	continuellement	ADV	_	ADV	_	MOD(511)	_
514	delim		BLANK	BLANK	_	_	_	_
