,sentence,val
41,Tel est la commande que j' ai reçu en Cuisine du C Grand Palais Lu Décembr6 de ces clients particuliers . §,6
42,nous établissementdigne du rayonnement de cette cuisine et de son et de son équipe . §,3
43,Maisa dans cette §,2
44,Nous n' allons pas nous entériner dans cette §,1
45,"Si nous ne résolvons pas les problèmes en amont ce sera la crise : aucune élèvation n' aura lieu , se défaut de croissance entrainera un mécontentement des attentes qui m' ont été investis en ce jours . §",3
46,Il s' agit de lier nos forces je souhaite faire revenir celle - ci car je veux promouvoir les produits de ma campagne et donner le meilleur d' eux - même . §,4
47,Tel sera la clé de notre succès . §,0
48,J aussi é §,3
49,Cuisine du Grand Palais - Lundi 12 Décembre 2016 §,0
50,"Monsieur le Chef , Mesdames , Messieurs §",0
51,"En ce jour je suis investi de la plus haute charge des cuisines , j' adresse aux commis un message de confiance . §",0
52,Nous sommes une grande cuisine qui dans son histoire à toujours su mettre en place les fours et chambres froides nécessaire à la préparation ( / des plus grands mets ) du financier . §,0
53,Tel est la commande que j' ai reçu de ces clients particuliers . §,0
54,Il nous faudra faire preuve de rigueur pour remonter l' échelle de notation du guide Michelin . §,0
55,Telle est la confiance qui m' est accordée par tous les clients de cet établissement : servir un financier digne du rayonnement de cette cuisine et de son équipe . §,0
56,"Je mesure le poids de ce qu' il nous faut pour mener à bien notre projet : poudres d' amandes , farine fluide , sucre , beurre , blanc d' oeufs , cuillère à café d' extrait de vanille , petite pincée de sel . §",0
57,"Il s' agit de lier nos forces Mais aucun de ces aliments ne sera amené à chômer : la productivité de notre plongeur nous permettra d' avoir des ustensiles de qualités , l' excellence de nos préparateurs pour beurrer les moules , commis second chef . §",0
58,"Sans mettre le feu à la poudre d' amande , je souhaite faire revenir celle - ci car je veux promouvoir les produits de ma campagne et donner le meilleur d' eux - même . §",0
59,Tel sera la clé de notre succès . §,0
60,"Je m' engage aussi à promouvoir l' hétérogénéité du mélange avec le sucre , la farine fluide et la vanille . §",0
61,"Bien que délicat , ce mélange est nécessaire à la réussite de notre réalisation . §",0
62,"Si nous ne résolvons pas les problèmes en amont ce sera la crise : aucune élévation n' aura lieu , se défaut de croissance entrainera un mécontentement des attentes qui m' ont été investis en ce jour . §",0
63,Cet engagement s' accompagnera d' un ajout de masse : les blancs en neige ferme avec une pincée de sel . §,0
64,"La chaleur provoquera une dette massive en eau , grâce aux oeufs présents dans la préparation lors de sa mise au four . §",0
65,"Il y aura une croissance faible du volume du financier , induite par les quantités . §",0
66,Il faudra décorer les financiers pour les rendre plus attractifs §,0
67,Nous n' allons pas nous entériner dans cette a ce faudra mettre les bouchées doubles §,3
68,Néanmoins nous devrons tous mettre la main à la pâte : . §,2
69,Les deux mélanges précédents seront D me semble judicieux nécessaire . §,3
70,Il faudra accompagner nos forces de crème la anglaise . §,4
71,Deux poids deux mesures §,1
72,Je ne serai pas la recette dud §,1
73,Je ne serai pas la recette du deux poids deux mesures . §,2
74,Dresser la table sera le premier élément pour conquérir notre but . §,4
75,le et je serai le leader de ce donnerai l' exemple en tant que . §,6
76,"les saurons s' occuper des mélanges , une mauvaise spirale et nous allons §",4
77,Je m' assurerais personnellement moi - même de la suffisance de cette croissance . §,3
78,. §,1
79,peut être w s e des plus grands mets un essentiel le le gauffre financier masse selariale en main les ustiles pour réussir notre ouvrage §,10
80,Je suis persuadé qu' avec notre savoir faire le patrimoine de ce restaurant §,2
81,Mettons que les mets on les mettent sans mais en mai avec mes mémés et même §,7
82,"où au vue de la préparation à venir des mets , comme le financier d' aujourd'hui , tout en liant les ingrédients . §",4
83,Nous devons le omogénéitéréussir pour lancer une préparation seine . §,3
84,de la mise au four vis - à - vis du mélara d succcessifs a d' ingérdients §,5
85,L ' accompagnement pourra se faire à l' aide d' une crème angla §,3
86,"Néanmoins , d afin de poursuivre notre avant de le mettre dans un moule incorporés au moule pour une vingtaine de minute au fou . §",5
87,"ensuite être enfour , dans le puis nous enfournerons celui - ci . §",4
88,Personne n' aura été amené à chômer . §,1
89,Enfin §,1
90,Le loup et l' agneau garou §,1
91,La raison du plus gore est toujours la meilleure §,1
92,terreur §,0
93,Nous l' allons montrer tout à l' heure . §,0
94,Un agneau cassait la croûte pique - niqueait §,2
95,Dans un sinistre cimetière Un Loup loup survient - garou à jeûn §,5
96,"Et qui , polyphage , en ces lieux sans muselière traquait . §",4
97,. §,1
98,croquaittraquait &quot; Qui te rend si hardi de rôder dans les parages ? §,1
99,. §,1
100,doux Dit cet animal plein de rage ; §,3
101,Tu seras dévoré tout cru §,1
102,"Sire , répond l' Agneau , que le seigneur Seigneur des canidés , seigneur croquemitaine , §",5
103,"Ne vous mettez pas en furie po , tiens , pour la peine . ! ! §",5
104,", Pitié , je ne pensais être en votre patrie . §",6
105,"D' ailleurs je fous le camp , Là maintenant . §",0
106,"Tenez , prenez ce casse - dal le , §",3
107,C' est un bon sandwich fait maison . §,3
108,"A l' avenir , je ne vous troublerai en aucune façon . §",2
109,"- Impossible , reprit cette bête féroce infernale §",2
110,"En telaiss laissant partir , je perds ma réputation . §",3
111,Je ne manque jamais une opportunité §,1
112,De semer la terreur §,1
113,Pour terroriser les effrontés §,1
114,H a ! §,2
115,#NAME?,1
116,"Ayez pitié , je tête encore ... §",1
117,Oublie ta mère ma mère §,1
118,. §,0
119,. §,0
120,. §,0
121,Oublie ta mère . §,1
122,Pitié . §,0
123,. §,0
124,. §,0
125,Arrêtons de raisonner si tu veux §,1
126,! §,0
127,! §,1
128,"Car je ne vous épargne guère , Vous , vos Bergers et vos chiens bien ! §",3
129,Tout le monde le dit : il faut que je mange . §,1
130,"a Là - dessus , songe Lecteur , que le loup se jette sur sa proie Et la hâche , la mâche , la croque §",5
131, errer - ! §,1
132,. §,1
133,. §,0
134,. §,0
135,Je ne veux vous troubler . §,2
136,e et et la broie . §,1
137,Rrrhr §,0
138,"Le genre de la parodie ou du pastiche détient détient un statut paradoxal : ce genre n' et autre que la subversion même d ' un s semble subvertir , de manière essentielle , la ntion même de genre ; il constitue un méta - genre , si l' on puit dire . §",11
139,"Et , par cela même , la parodie et et le pastiche interrogent sont susceptibles d' interroger , plus profondément , la notion de genre . §",9
140,. §,1
141,"Il , puisqu' il o . §",3
142,"Car q En effet , Depuis l' Antiquité , La réfelxion le sur lanotion de genre existe depuis l' Antiquité , , et Aristot fait figure de pionnier . §",11
143,Mais le genre Car qu' est -ce qu' un genre ? §,2
144,"Mais , d' abord , A présent , Un genre recoupe l' ensemble tou &quot; type relativement stable &quot; d' énoncé &quot; , dit Bakhtine . §",8
145,"Un genre Un énoncé appartient à un certain genre , dès lors qu' il manifeste un ensemble de marqueurs traits inhérents à ce genre . §",5
146,t . §,2
147,", auquel toute publication sur le problème des genres de discours semble se duq réclamer . §",7
148,"subvertit ( thématiques , compositionnels , stylistiques ) , . §",4
149,Tout dont différents . §,4
150,"inhérent intrinsèques a priori La parodie dé Une aspire à déplacer , à détourner , à dévoyer un énoncé . §",10
151,"La , le pastiche se réfèrent s' appuient sur un certain cadre générque pour m i , e t aspirent , d' un même geste , le déplacent . §",15
152,Ils intoduisent dans l' énonce é de l' hétérogénéité et de la distorsion . §,4
153,", puisqu' il convoquent des univers référentiels différents . §",3
154,", voire voire complètement volontiers imrobablesp , s délibérément ; et le lecteur , ou plus , rarement , l' interlocuteur , rit . §",12
155,Mikhaïl §,1
156,"Le genre de la parodie et du pastiche détient un statut paradoxal : ce genre subvertit , de manière essentielle , la notion même de genre . §",0
157,"Mais , tout d' abord , qu' est -ce qu' un genre ? §",0
158,"&quot; Un type relativement stable d' énoncé &quot; , dit Bakhtine , duquel toute publication sur le problème des genres de discours semble se réclamer . §",0
159,"Tout énoncé appartient à un certain genre a priori , dont il manifeste différents traits intrinsèques ( thématiques , compositionnels , stylistiques ) . §",0
160,"La parodie , le pastiche s' appuient sur un certain cadre générique , et , d' un même geste , le déplacent . §",0
161,"Ils intoduisent dans l' énoncé de l' hétérogénéité et de la distorsion , puisqu' ils convoquent des univers référentiels volontiers différents , voire délibérément improbables ; et le lecteur ou , plus rarement , l' interlocuteur rit . §",0
162,"Il constitue un méta - genre , si l' on puit dire . §",0
163,"Et , par cela même , la parodie et le pastiche sont susceptibles d' interroger , plus profondément , la notion de genre . §",0
164,La La parodie et le pastiche nt S On peut Maingueneau définit lui - même la parodie comme une stratégie &quot; de réinvetissement d' un genre de discours dans d' autres &quot; . §,9
165,. §,1
166,Maingueneau définit lui - même la parodie comme &quot; une stratégie de réinvetissement d' un genre de discours dans d' autres &quot; . §,0
167,"Ainsi , Mais pour que le e l e pa r a parodie fonctionne , pour que le lecteur pour que le régime humoristique ne tombe pas à plat , le Toutefois , autrement dit pour qu' elle fasse rire locuteur doit subvertir manier l' art de la subversion elle doit être il faut que le lecteur puisse percevoir la référence l' interdiscours , la référence subvertie . §",24
168,ici le discours parodié . §,2
169,"Le locuteur &quot; parodieur &quot; doit donc manier la subversion avec subtilité : il doit conserver , dans un oeuvre dans un certain cadre , , cons é : il doit conserver un conserve un ensemble de traits inhérents au genre parodié auquel il ajoute un ensemble ou plusieurs de tr autres définitoires , aits définitoires inhérents à un ou plusieurs autres genres . §",27
170,", puisqu' ils appartiennent à un genre de discours ce qui subvertit et mêle combine les différents genres . §",5
171,"en vertu même de ce statut ce ce singulier leur ils en eur ceéminemment paradoxal Ainsi , en s' appuyant une parodie , intitulée &quot; Le loup garou et l' agneau &quot; , - on re connaîtra sans trop de difficulté l' allusion à la fabe de La Fontaine - - , il s' agira de comprendre , par - delà l e a subversion , s l l' essence du genre . §",27
172,"tous deux l exemple de Parodier , c' est d' abord repérer l sur s r §",10
173,"Le genre de la parodie et du pastiche détient un statut paradoxal : ce genre subvertit , de manière essentielle , la notion même de genre . §",0
174,"Mais , tout d' abord , qu' est -ce qu' un genre ? §",0
175,"&quot; Un type relativement stable d' énoncé &quot; , dit Bakhtine , duquel toute publication sur le problème des genres de discours semble se réclamer . §",0
176,"Tout énoncé appartient à un certain genre a priori , dont il manifeste différents traits intrinsèques ( thématiques , compositionnels , stylistiques ) . §",0
177,"La parodie , le pastiche s' appuient sur un certain cadre générique , et , d' un même geste , le déplacent . §",0
178,"Ils introduisent dans l' énoncé de l' hétérogénéité et de la distorsion , puisqu' ils convoquent des univers référentiels volontiers différents , voire délibérément improbables - Maingueneau définit lui - même la parodie comme &quot; une stratégie de réinvestissement d' un genre de discours dans d' autres &quot; . §",0
179,"Ainsi , le lecteur ou , plus rarement , l' interlocuteur rit . §",0
180,"Toutefois , pour que la parodie fonctionne , autrement dit pour qu' elle fasse rire , il faut que le lecteur puisse percevoir l' interdiscours , ici le discours parodié . §",0
181,"Le &quot; parodieur &quot; doit donc manier la subversion avec subtilité : il conserve un ensemble de traits définitoires inhérents au genre parodié , auquel il ajoute un ou plusieurs autres ensembles de traits définitoires inhérents à un ou plusieurs autres genres . §",0
182,"La parodie et le pastiche constituent un méta - genre , si l' on puit dire , puisqu' ils appartiennent tous deux à ce genre de discours qui subvertit et combine les différents genres . §",0
183,"Et , en vertu même de ce statut éminemment paradoxal , ils sont susceptibles d' interroger , en profondeur , la notion de genre . §",0
184,"Ainsi , en s' appuyant sur un exemple de parodie , intitulée &quot; Le loup garou et l' agneau &quot; - on reconnaîtra sans trop de difficulté l' allusion à la fable de La Fontaine - , il s' agira de comprendre , par - delà la subversion , l' essence du genre . §",0
185,"et de et les contraintes de textualisation , c' est - à - dire le processus d' écriture et son résultat . §",4
186,"Car Parodier , c' est d' abord saisir les traits définitoires d' un discours . §",4
187,"genre de ' énoncé le genre type d' énon l' énoné ou cé l' énoncé certain d' énoncé d' énoncé La parodie suppose un travail réflexif en amont , d' où l ' intérêt de s' exercer à l' a y Aussi l - t -elle , donc mener t . §",21
188,"Ainsi , pardodier , permet d ' appréhender les contraintes qui régissent l' la production des énoncés . §",10
189,"est organisé d' une certaine manière , en fonction de la situation d' énonciation , et donc de textualisation D' où l' intérêt , dans le cadre de cette étude sur zn amont , sinon scientifique , du moins réflexif , de s' appuyer exercer à la parodie , . §",12
190,passer par le biais de . §,2
191,e je me suis moi - même exercé à la à la à travers la fable j' ai trouvé et j' ai rédigé cette intitulée . §,9
192,. §,1
193,"A paritir de cette expérience et de ' un travail autoréflexif , il s' agira de compren on peut se demander comment cette parodie , ici , la parodie révèle e gestequ , en les contraintes de textualisation inhérentes au genre , en même temps qu' il les alorsdéplace , dès lor et les subvertit . §",16
194,. §,1
195,Dans une histoire ( Vraie et qu' il te faut croire ) . §,4
196,Une brève présentation de cette tentative parodique s' impose . §,2
197,Cette : . §,3
198,"J' ai choisi de parodier une fable , plus précisément une fable de Lafontaine bien connue , &quot; Le loup et l ' agneau &quot; §",5
199,A F . §,3
200,"Ainsi , le geste parodique s' appuie sur un certain non seulement genre , la fable , mais encore sur un texte précis , une fable en particulier énoncé . §",12
201,"Le genre de la fable peut se définir ainsi : un court récit , en vers ou en prose , qui se veut didatique entend de manière plaisante une leçon de vie . §",5
202,"Elle obéit à la doctrine horacienne fameus , pla a prior a priori &quot; cere et docere &quot; , &quot; plaire et instruire &quot; : c' est parce qu' elle séduit le lecteur , elle séduit anvant de susciter la réflexion le lecteur chez lui une . §",14
203,"Dans l' histoire littéraire , la pratique de la fable semble se restreindre à deux périodes essentiellemen , l' Antiquité et l ' âge classique . §",6
204,"Esope et occidentale Le genre connaît un premier essor à travers les figures d' Esope et de Phèdre ; puis , délaissé auprofit du fabliau durant le Moyen - Age , il rencontre un nouveau succès notamment grâce à La Fontaine , qui s' illustre par ses vers pleins de piquant et d' urbanité et de piquants . §",14
205,"Le genre atteint son sommet Ainsi , l au XVIIe siècle ; . §",5
206,"Au siècle suivant , quelques écrivains continuent de composer des fables , à l' instar de Jean - Pierre Claris de Florian , ; mais , par la suite , le genre décline . , . , incontestablement . §",10
207,"sans pour autant disparaître : des écrivains tels que Victor Hugo , Tristan Corbière , Jean Anhouiouilh , Raymond Queneau ou encore Pierre Perret , perpétuent le genre de la fable à travers la récriture parodique é . §",10
208,"La parodie se voit ainsi Auss -elle investie d' une mission nobl , par - delà sa d' une noble mission , par - delà son apparente bassesse : elle avive les genres la la flamme dessur le déclin . , pourrait -on dire , dans une conception organiciste des genres suivant la littérature . §",16
209,des genres littéraires . §,2
210,la littérature . §,1
211, histoire ire . §,2
212,selon il §,2
213,"A la différence du qui imite le style d' un auteur , lea parodie simple imitation , de style e E elle constitue Je n' ai certes pas la prétention de perpéuer le genre de la fable , mais d' aviver seul , cette flammebien entendu , mais si j' ai choisi de parodier ; , une fable , c' est d' abord parce que , avec mon &quot; Loup garou et l ' &quot; Lel agnea &quot; , u our rendre hommage à ce genre cette de La Fontaine lui . §",30
214,"Par ailleurs , il s' agit d' une parodie d' un fabu à ce grand écrivain je voulais zzz , pour ma parodie , un fort potentiel humoristique . D §",5
215,"C' est pourquoi j' ai opté pour Du resteune , , j' ai choisi de parodier une fable on ne peut plus connue célèbre , d' un fabuliste on ne peut plus célèbre . §",8
216,"Ainsi , L' intertextualité est d' autant plus e lecteur perçoit l' intertextualité d' autant plus aisément En effet , l est d' autant plus sensible à l' humour d' une p d' une parodie qu' il l' interdiscours , . §",12
217,"S' il ne voit comprend pas quel saisit pas i celui - ci lui échappe , il ne saisit pas le fondement même de l' humour parodique : , qui repose sur un effet de déplacement et de subversion . §",11
218,"et entretient , de manière essentielle , un lien avec un autre énoncé ou un autre type d' énoncé . §",5
219,"un Dans Avec une fable intitulée &quot; Le loup - garou et l' agneau &quot; , un Ici , dès le titre lui - même , entraîne un régime de lecture parodique . §",9
220,"une régime de lecture parodique s' engage dès le début , avec le titre , plsu q cus qu' évocateur : &quot; Le loup - garou et l' agneau &quot; . §",4
221,"à traver , et la . §",3
222,"Parodier une fable Afin de p , il faut déterminer les traits définitoires du genre . §",2
223,: les traits décompositionnels et les spécficités énonciatives . §,3
224,"Pour réaliser réussir une être capable de parodié quels sont dans le genre de la fable , telle que la pratique La Fontaine ? §",6
225,Dans la fable La ' art de la fable relève Dansse manifeste une esthétique de la brièveté poétique et de l' acuité . §,6
226,", comme le ' atteste une étude de la strcture de la fable . §",3
227,"u structurelle Après l' &quot; inventio &quot; a phase de l' , où le fabuliste cerhche her un sujet au sein d con çoit son dicours par le biais de lieux communs , , son s histoire , vient la phase de la &quot; dispositio &quot; . §",21
228,"&quot; l' invention &quot; , , &quot; la disposition &quot; . §",2
229,: une étude de la macrostructure peut révéler se fort utile bienpour comprendre cette phase de la dispositio &quot; &quot; . §,9
230,"La fable , La parodie a une double fonction , tourner en dérision et rendre hommage , en sachant que l' une n' est pas exclusive de l' autre . §",4
231,"uYuUDpd6 L De cette double nature , la parodie tient une double fonction , à la fois tourner en dérision et rendre hommage , en sachant que l' une n' est pas exclusve de l' autre . §",8
232,", longtemps longtemps considéré comme bas - - - - dans le champ littéraire ongtemps tenu pour marginal dans le champ littéraire , le depuis Esope , possède D' Esope à La Fontaine , l fable une structure bien déterminée : elle se compose d' une brève histoire ef épisode narratif , qui a valeur d' exemplum , et , soue souvent accompagné d' une morale &quot; &quot; , qui invite le lecteur à la réflexion méditation . §",22
233,"Ces deux traits tte structure , on la retrouve dans les deux d' ailleursversions de &quot; Le Loup et l' Agneau &quot; , apparaît celle d' Esope et celle de La Fontaine . §",8
234,"Dans la hiérarchie des genres littéraires , Souvent confiné C' est pourquoi elle Elle Par Elle détient une vertu didactique , c' est pourquoi elle est Sa vertu didactique en fait un exercice scolaire indispensable dans les premières ' apprentissage de la rhétorique . §",17
235,"La fable appartient au genre humble : s Dans la hiérarchie des genres , la la fable se situe parmi lles plus humbles La Fon Il fait de la fable , non plus un &quot; pensum &quot; scolaire mais écrit Comme l' a montré Georges Couton , La fontaine F , l' entreprise de relève de la fable , véritablement . §",17
236,"ce es classes de grammaire puis de a su passer du à l' art de la fable , qui a su élever tr an le genre de la fable grâce auquel le genre de la fable prend une dimension toute nouvelle : il lui confère ses titres de noblesse . §",15
237,&quot; ; il &quot; est arrivé à la poésie par les voies de la rhétorique &quot; . §,4
238,"au demeurant : méditer sur l ' homme , sur le et monde . §",6
239,"Elle prend souvent la forme d' une maxime , brève et marquante , , et Souvent énoncée au présent gnomique , e . §",5
240,"Cette Au demeurant , c narration histoire / morale , mais encore dans bien d' autres fables . §",7
241,"Très souvent , la fable met en scène des animaux Souvent , personnifiés , qui et e le lecteur doit considérer comme autant de types psychologiques qu' il tient au lecteur de déchiffrer . §",9
242,"e le lecteur - peut aisément doit pouvoir comprendre sans difficulté Quant à la morale , en général énoncée au présent , lorsqu' elle est explicite . §",8
243,", lorsqu' elle est explicite , e au présent gnomique . §",2
244,"macro la majeure partie des fables depuis l' Antiquité , et C notamment dans . §",8
245,"Ainsi , la fable telle que la pratique La Fontaine constitue un genre en soi . §",3
246,"L devient proprement littéraire et poétique La singularité de la poétique de La Fontaine se situe ess se manifestent davantage du point de vue de la microstructure , de l' &quot; élocutio &quot; . §",7
247,"Tout d' abord , il recourt au vers , comme Phèdre à . §",4
248,", et pratique l' hétérométrie . §",1
249,", qui confère à la fable au propos du tyrhme et du relief . §",5
250,"ryth Surtout , le style Mais sde La FOntaine se distigue par sa clarté o , sa simplicité éclatante . §",7
251,"Sa poé S a poésie s' inscrit dans le paysage classique , qui prône la belle langue pleine de cl épurée : . §",7
252,Il suffit de penser à ce vers fameux de Boileau : &quot; Ce que l' on conçoit bien s' énonce clairement &quot; . §,4
253,"dans L ' Art poétique , &quot; l' élocution &quot; . §",4
254,"Le beau , le bien ne peut être n est limpide . §",3
255,", sinon , du moins Il donne un visAinsi , i ge nouveauà la fable , qui en tout un autre canon nouveau générique §",11
256,"Trop souvent un genre voire une simple blague , a C' est pourquoi Aussi La Fontaine s' illustre -t-il davantage dans les figures syntaxiques que dans les figures sémantiques ne recourt -il à l' image avec modération . §",12
257,bien de style d' ordre celles d' ordr . §,3
258,", comme l' accumulation , la gradation , l' antithèse , l' antiphrase le parallélisme , , l' ellipse , les figures mo que dans celles d' ordre syntaxique , comme le parralélisme , l' antithèse , l ' accumulation , l' antith a gradation , l' antiphrase l' ellipse , . §",17
259,"la parataxe , Dans Le Loup et l' Agneau , on relève une parataxe du vers Par exemple , d &quot; &quot; es vers 1 à 6 , &quot; narratio &quot; puis une acccumulation au vers 25 , mais aucune métaphore image , ni métaphore ni comparaison . §",17
260,", d' ordre syntaxique , et d' ordre , sémantique , , seulement une périphrasela &quot; bête cruelle &quot; au vers 18 mais et pour désigner le loup ; or la périphrase , figure de substitution , altère très peu le sémant constitue une altération faible du point de vue sémantique . §",18
261,", et , le plus souvent , elle évite tout simplement une répétition . §",3
262,", . §",2
263,"Or ; le plus souvent , la clarté faible , ici minime , . §",4
264,"et n' hésite pas , avec des vers parfois très brefs , . §",5
265,"Il et a use à plaisir de vers courts nt : le vers 14 dans &quot; Le Loup et l' Agneau &quot; , est composé de quatre syllabes . §",8
266,"seulement , , le deuxième vers de &quot; La Cigale et la Fourmi &quot; de trois syllabes . §",4
267,"e En outre Dans cet esprit , La Fontaine manie ainsi un vers la brièveté Non seulement La Fontaine manie peut r des vers brefs , mais aencore La Fontaine amanie suscite des effets de brièveté non seulement à travers , en vertu non confère à ses fablesu à travers les s dvers parfois tr non seulement ès courts , mais encore à des figures de style comme la parataxe ou l' ellipse . §",33
268,La Fontaine s' illustre L' art e . §,4
269,"La poésie de fable , chez La Fontaine , relève d ' une esthétique de la soustraction . §",5
270,"l' asyndète , , d . §",3
271,"ne D' ordre sémantique , on note Dans &quot; Le Loup et l' Agneau &quot; justement , les vers 1 à 6 jouent sur un effet de paratxe , qui accélère le rythme impose d' emblée un effréné . §",10
272,Il y a une §,2
273,"L' analyse linguistique et stylistique qui suit s' appuie surtout sur la fable &quot; Le Loup et l' Agneau &quot; notamment peut-être surtout notamment régulièrement entend définir l' esthétique de la fable chez La Fontaine , tout en mais insis s' appuie pour beaucoup , . §",14
274,"afin de puisque mon entreprise parodique pour la simple raison que d' ablord je n' ai pas voulu entrepris la parodie de parodier une fable ' a en particulier afin de bien comprendre la spécificité d' une entreprise parodique , pour faire apparaître de mon . §",14
275,"souligner écrit , peut-être celle à moins aisémentl ' histoire d' horreur . §",6
276,"mais aussi encore à aussi l' univers de l' horreur et de l' épouvante parodique sans doute Mais également Toutefois , il ne faudrait pas penser que celle - ci laisse place au mystère fasse Car l en outre L' esthétique Ainsi , l de la Fable , , en particulier chez La Fontaine , se distigue par ce double aspect : la brièveté et la clarté , la soustraction et l' évidence . §",22
277,"La fable Uneest d' autant plus claire qu' elle est brève , et réciproquement . §",3
278,Car c' est le chemin le plus court qui mène à la vérité . §,0
279,"A ces La fable Après cette étude analyse de la composition s traits compositionnels inhérents à la fable , il convient à présent de se pencher sur un nouvel aspect , l' énonciation . §",8
280,autre La fable est d' autant tire son efficacité rhétorique de sa brièveté . §,5
281,"La Fontaine lui - même manifeste à plusieurs son souci de brièveté : &quot; Mais les ouvrages les plus courts / Sont toujours les meilleurs &quot; , écrit -il dans son Discours à M . §",8
282,"de la Rochefouca ld , X , 14 . §",3
283,"Dan la s la narratio &quot; &quot; , e fabuliste souvent §",5
284,", , L a Fontaine joue es fables jouent sur font intervenir l' oralité et la polyphonie , d' autant plus chez La Fontaine . §",7
285,", qui écrit dans la dédicace du Livre premier adressée au Dauphin : &quot; Tout parle en mon ouvrage O , et même les poissons &quot; . §",6
286,", plein de malice , En effet , la fable donne à entendre une multiplicité de voix : les animaux per différents animaux personnifiés et mis en scène , mais aussi le fabuliste lui - même . §",9
287,"Ainsi , dans les sé La Fontaine , avec ingéniosité , alterne les différents types de discours . §",4
288,"Ainsi , on peut trouver , dans les séquences dialogales , du discours direct et du discours indirect libre même mais aussi , et , dasn les séquences narratives , du discours et ns indirect ouou du discours indirect - libre . §",13
289,", étonnamment , , dans le &quot; Philosophe Scythe &quot; par exemple , aux vers 14 et 15 : comme &quot; Le Scythe alors lui demanda , §",12
290,"&quot; Tout l' été &quot; , §",0
291,/ §,1
292,Pourquoi cette ruine : était -il d' homme sage / De mutiler ainsi ces pauvres habitants ? §,4
293,&quot; . §,1
294,", voire les . §",2
295,", voire combine , §",1
296,Qand il . §,3
297,fait parler ses personnages de différentes manières ; il Il L e discou §,6
298,"Dans les séquences dialogales , L maintiennent une hétérogénéité entre le discours cité et le discours citant , alors que les séquences narratives discours indirect , et surtout l discours indirect - libre provoquent un homogénéisation entre discours cité et discours citant . §",8
299,"pourtant rare au XVIIe siècle - - e , parfois support de l' ironie . §",7
300,"à l' instar d le Loup et l' Agneau entre autres , Les fables de La Fontaine Dans l , qui laisse des traces énonciatives . §",7
301,"En effet , nombre de fables recèlent des marqueurs de subjectivite é , au sens &quot; &quot; de Benveniste . §",7
302,: F f l' occurence es multiples du &quot; je &quot; §,7
